"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE","UPSIDE ","BUST ","SOS","ECR VS ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"2",1,"CeeDee Lamb",DAL,"WR2","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+4"
"3",1,"Justin Jefferson",MIN,"WR3","6","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+2"
"4",1,"Bijan Robinson",ATL,"RB1","5","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-2"
"5",2,"Malik Nabers",NYG,"WR4","14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+4"
"6",2,"Amon-Ra St. Brown",DET,"WR5","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+2"
"7",2,"Jahmyr Gibbs",DET,"RB2","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-3"
"8",2,"Nico Collins",HOU,"WR6","6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+5"
"9",2,"Puka Nacua",LAR,"WR7","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+3"
"10",2,"Saquon Barkley",PHI,"RB3","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-7"
"11",2,"Christian McCaffrey",SF,"RB4","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-4"
"12",2,"Brian Thomas Jr.",JAC,"WR8","8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+3"
"13",2,"Drake London",ATL,"WR9","5","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+4"
"14",3,"A.J. Brown",PHI,"WR10","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+6"
"15",3,"Ladd McConkey",LAC,"WR11","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+11"
"16",3,"Brock Bowers",LV,"TE1","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+2"
"17",3,"Ashton Jeanty",LV,"RB5","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-6"
"18",3,"De'Von Achane",MIA,"RB6","12","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-4"
"19",3,"Jaxon Smith-Njigba",SEA,"WR12","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+14"
"20",3,"Trey McBride",ARI,"TE2","8","Coach Upside rating","Coach Bust rating","5 out of 5 stars","+7"
"21",4,"Tee Higgins",CIN,"WR13","10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+8"
"22",4,"Derrick Henry",BAL,"RB7","7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-12"
"23",4,"Josh Allen",BUF,"QB1","7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-2"
"24",4,"Lamar Jackson",BAL,"QB2","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"25",4,"Chase Brown",CIN,"RB8","10","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-3"
"26",4,"Garrett Wilson",NYJ,"WR14","9","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+15"
"27",4,"Bucky Irving",TB,"RB9","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-4"
"28",4,"Tyreek Hill",MIA,"WR15","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+3"
"29",4,"Josh Jacobs",GB,"RB10","5","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-13"
"30",4,"George Kittle",SF,"TE3","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+8"
"31",4,"Mike Evans",TB,"WR16","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+8"
"32",4,"Davante Adams",LAR,"WR17","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+10"
"33",4,"Jayden Daniels",WAS,"QB3","12","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-3"
"34",4,"Jonathan Taylor",IND,"RB11","11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-15"
"35",5,"Marvin Harrison Jr.",ARI,"WR18","8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+9"
