depth_chart_position,hashtag,years_exp,birth_city,sport,full_name,practice_description,yahoo_id,team_abbr,active,pandascore_id,metadata,depth_chart_order,college,search_rank,player_id,practice_participation,first_name,search_last_name,espn_id,status,swish_id,birth_date,opta_id,injury_status,gsis_id,birth_state,sportradar_id,height,injury_notes,oddsjam_id,search_full_name,stats_id,age,high_school,team_changed_at,birth_country,last_name,rotowire_id,number,fantasy_positions,weight,injury_body_part,injury_start_date,position,search_first_name,fantasy_data_id,team,rotoworld_id,competitions,news_updated
,#ellisrichardson-NFL-FA-45,3.0,,nfl,Ellis Richardson,,32262.0,,True,,{'channel_id': '1116853254748110848'},,Georgia Southern,9999999.0,6462,,Ellis,richardson,3926590.0,Active,,1995-02-12,,, 00-0035057,,efd6f3c3-b752-4bc2-a4f2-b776c15c3ec0,75,,,ellisrichardson,887183.0,26.0,Douglas County,,,Richardson,14134.0,45.0,['TE'],245,,,TE,ellis,21427.0,,,[],
,#nickamoah-NFL-FA-0,0.0,,nfl,Nick Amoah,,,,True,,"{'channel_id': '1116852669114220544', 'rookie_year': ''}",,UC Davis,9999999.0,11255,,Nick,amoah,,Active,1052592.0,,,,,,55510c00-ead2-11ed-999e-03b49558b5db,74,,,nickamoah,,,Davis (CA),,,Amoah,,0.0,['OL'],306,,,OL,nick,,,,[],
,#malkelmmorrison-NFL-FA-0,1.0,,nfl,Malkelm Morrison,,,,True,,"{'channel_id': '1116853537213513728', 'years_exp_shift': '1'}",,Army,9999999.0,8842,,Malkelm,morrison,,Injured Reserve,1131137.0,,,,,,3c804b10-d3a8-11ec-96a0-c3471a31202c,70,,,malkelmmorrison,,,Iona Prep (NY),,,Morrison,16558.0,0.0,['DB'],186,,,CB,malkelm,,,,[],1653351613345.0
,#carltucker-NFL-FA-0,1.0,,nfl,Carl Tucker,,,,True,,{'channel_id': '1116853436709601280'},,Alabama,426.0,7926,,Carl,tucker,,Active,866047.0,1997-02-06,,,,,fde9c52b-0e2f-46e7-9b0e-9ada612ecec3,74,,,carltucker,,24.0,Hough (NC),,,Tucker,15412.0,0.0,['TE'],250,,,TE,carl,,,,[],1631568053348.0
,#cjmosley-NFL-FA-57,11.0,,nfl,C.J. Mosley,,27545.0,,True,,"{'channel_id': '1113708745461886977', 'rookie_year': '2014'}",,Alabama,216.0,1875,,C.J.,mosley,16720.0,Active,557173.0,1992-06-19,,Questionable,00-0031296,,bf5f7564-349a-439a-a8a9-4ddb10448a8d,74,,97CDFFA7FA4D,cjmosley,,32.0,Theodore (AL),,,Mosley,9380.0,57.0,['LB'],231,Neck,,LB,cj,16093.0,,9631.0,[],1750349738286.0
RCB,#samuelwomack-NFL-TEN-35,3.0,,nfl,Samuel Womack,,,,True,,"{'channel_id': '1113708876978483201', 'rookie_year': '2022'}",3.0,Toledo,631.0,8478,,Samuel,womack,,Active,1085180.0,1999-07-07,,,,,75c1ed8d-4f05-43c1-b398-f212984b6b8b,70,,0823DA35726D,samuelwomack,,26.0,East English Village Prep (MI),,,Womack,16274.0,35.0,['DB'],189,,,CB,samuel,,TEN,,[],1737226242174.0
,#ronparker-NFL-FA-0,11.0,,nfl,Ron Parker,,25090.0,,False,,,,Newberry,9999999.0,995,,Ron,parker,14297.0,Injured Reserve,,1987-08-17,,,00-0028445,,e9a0297a-0b34-4c55-af1f-ca113d672195,72,,,ronparker,512802.0,34.0,Beaufort (SC),,,Parker,7817.0,0.0,['DB'],206,,,FS,ron,13476.0,,6811.0,[],1578330037366.0
,#leveonbell-NFL-TB-6,9.0,,nfl,Le'Veon Bell,,26671.0,,True,,{'channel_id': '1116852736248250368'},,Michigan State,235.0,1408,,Le'Veon,bell,15825.0,Active,543654.0,1992-02-18,,,00-0030496,,7735c02a-ee75-447c-86e6-6c2168500050,73,,,leveonbell,543654.0,29.0,Groveport Madison (OH),,,Bell,8617.0,6.0,['RB'],225,,,RB,leveon,14967.0,TB,8390.0,[],1707165960874.0
,#mattseybert-NFL-FA-41,1.0,,nfl,Matt Seybert,,,,True,,{'channel_id': '1116853462399713280'},,Michigan State,,8074,,Matt,seybert,,Active,,1997-05-02,,,,,22ec09a7-6001-43b7-adf9-cf0df941ad0e,76,,,mattseybert,,24.0,St. Francis (MI),,,Seybert,15785.0,41.0,['TE'],252,,,TE,matt,,,,[],1629836727949.0
,#williamgay-NFL-FA-25,13.0,,nfl,William Gay,,8424.0,,False,,,,Louisville,9999999.0,156,,William,gay,10613.0,Inactive,,1985-01-01,,,00-0025557,,a2907a39-139b-483f-8369-e278c26a6951,"5'10""",,,williamgay,229499.0,35.0,James R. Rickards (FL),,,Gay,6211.0,25.0,['DB'],187,,,CB,william,4122.0,,4319.0,[],1534088707204.0
