injury_notes,last_name,birth_date,oddsjam_id,fantasy_data_id,birth_state,gsis_id,first_name,active,injury_start_date,rotoworld_id,number,injury_body_part,search_first_name,metadata,competitions,age,birth_country,weight,status,hashtag,height,rotowire_id,years_exp,search_full_name,sport,practice_participation,search_rank,birth_city,player_id,news_updated,high_school,pandascore_id,swish_id,stats_id,yahoo_id,position,full_name,team,injury_status,college,espn_id,depth_chart_order,practice_description,search_last_name,team_abbr,depth_chart_position,sportradar_id,team_changed_at,fantasy_positions,opta_id
,Richardson,1995-02-12,,21427.0,, 00-0035057,Ellis,True,,,45.0,,ellis,{'channel_id': '1116853254748110848'},[],26.0,,245,Active,#ellisrichardson-NFL-FA-45,75,14134.0,3.0,ellisrichardson,nfl,,9999999.0,,6462,,Douglas County,,,887183.0,32262.0,TE,Ellis Richardson,,,Georgia Southern,3926590.0,,,richardson,,,efd6f3c3-b752-4bc2-a4f2-b776c15c3ec0,,['TE'],
,Amoah,,,,,,Nick,True,,,0.0,,nick,"{'channel_id': '1116852669114220544', 'rookie_year': ''}",[],,,306,Active,#nickamoah-NFL-FA-0,74,,0.0,nickamoah,nfl,,9999999.0,,11255,,Davis (CA),,1052592.0,,,OL,Nick Amoah,,,UC Davis,,,,amoah,,,55510c00-ead2-11ed-999e-03b49558b5db,,['OL'],
,Morrison,,,,,,Malkelm,True,,,0.0,,malkelm,"{'channel_id': '1116853537213513728', 'years_exp_shift': '1'}",[],,,186,Injured Reserve,#malkelmmorrison-NFL-FA-0,70,16558.0,1.0,malkelmmorrison,nfl,,9999999.0,,8842,1653351613345.0,Iona Prep (NY),,1131137.0,,,CB,Malkelm Morrison,,,Army,,,,morrison,,,3c804b10-d3a8-11ec-96a0-c3471a31202c,,['DB'],
,Tucker,1997-02-06,,,,,Carl,True,,,0.0,,carl,{'channel_id': '1116853436709601280'},[],24.0,,250,Active,#carltucker-NFL-FA-0,74,15412.0,1.0,carltucker,nfl,,426.0,,7926,1631568053348.0,Hough (NC),,866047.0,,,TE,Carl Tucker,,,Alabama,,,,tucker,,,fde9c52b-0e2f-46e7-9b0e-9ada612ecec3,,['TE'],
,Mosley,1992-06-19,97CDFFA7FA4D,16093.0,,00-0031296,C.J.,True,,9631.0,57.0,Neck,cj,"{'channel_id': '1113708745461886977', 'rookie_year': '2014'}",[],32.0,,231,Active,#cjmosley-NFL-FA-57,74,9380.0,11.0,cjmosley,nfl,,216.0,,1875,1750349738286.0,Theodore (AL),,557173.0,,27545.0,LB,C.J. Mosley,,Questionable,Alabama,16720.0,,,mosley,,,bf5f7564-349a-439a-a8a9-4ddb10448a8d,,['LB'],
,Womack,1999-07-07,0823DA35726D,,,,Samuel,True,,,33.0,,samuel,"{'channel_id': '1113708876978483201', 'rookie_year': '2022'}",[],26.0,,189,Active,#samuelwomack-NFL-TEN-33,70,16274.0,3.0,samuelwomack,nfl,,618.0,,8478,1737226242174.0,East English Village Prep (MI),,1085180.0,,,CB,Samuel Womack,TEN,,Toledo,,3.0,,womack,,RCB,75c1ed8d-4f05-43c1-b398-f212984b6b8b,,['DB'],
,Parker,1987-08-17,,13476.0,,00-0028445,Ron,False,,6811.0,0.0,,ron,,[],34.0,,206,Injured Reserve,#ronparker-NFL-FA-0,72,7817.0,11.0,ronparker,nfl,,9999999.0,,995,1578330037366.0,Beaufort (SC),,,512802.0,25090.0,FS,Ron Parker,,,Newberry,14297.0,,,parker,,,e9a0297a-0b34-4c55-af1f-ca113d672195,,['DB'],
,Bell,1992-02-18,,14967.0,,00-0030496,Le'Veon,True,,8390.0,6.0,,leveon,{'channel_id': '1116852736248250368'},[],29.0,,225,Active,#leveonbell-NFL-TB-6,73,8617.0,9.0,leveonbell,nfl,,235.0,,1408,1707165960874.0,Groveport Madison (OH),,543654.0,543654.0,26671.0,RB,Le'Veon Bell,TB,,Michigan State,15825.0,,,bell,,,7735c02a-ee75-447c-86e6-6c2168500050,,['RB'],
,Seybert,1997-05-02,,,,,Matt,True,,,41.0,,matt,{'channel_id': '1116853462399713280'},[],24.0,,252,Active,#mattseybert-NFL-FA-41,76,15785.0,1.0,mattseybert,nfl,,,,8074,1629836727949.0,St. Francis (MI),,,,,TE,Matt Seybert,,,Michigan State,,,,seybert,,,22ec09a7-6001-43b7-adf9-cf0df941ad0e,,['TE'],
,Gay,1985-01-01,,4122.0,,00-0025557,William,False,,4319.0,25.0,,william,,[],35.0,,187,Inactive,#williamgay-NFL-FA-25,"5'10""",6211.0,13.0,williamgay,nfl,,9999999.0,,156,1534088707204.0,James R. Rickards (FL),,,229499.0,8424.0,CB,William Gay,,,Louisville,10613.0,,,gay,,,a2907a39-139b-483f-8369-e278c26a6951,,['DB'],
,White,1997-02-21,8ADDCA292DD5,22303.0,,,Javin,True,,,60.0,,javin,"{'channel_id': '1116853366710861824', 'rookie_year': '2020'}",[],27.0,,211,Active,#javinwhite-NFL-FA-60,74,14902.0,4.0,javinwhite,nfl,,9999999.0,,7311,1721609703351.0,McClymonds (CA),,881687.0,,33318.0,LB,Javin White,,,UNLV,3921709.0,,,white,,,3f95afdc-2140-424b-8250-7d4e273c2efc,,"['DB', 'LB']",
,Breeland,1992-01-30,,16407.0,, 00-0031052,Bashaud,True,,9585.0,24.0,,bashaud,{'channel_id': '1116852779298586624'},[],30.0,,197,Active,#bashaudbreeland-NFL-ARI-24,71,9648.0,8.0,bashaudbreeland,nfl,,9999999.0,,2091,1641345029845.0,Allendale-Fairfax (SC),,560235.0,560235.0,27630.0,CB,Bashaud Breeland,ARI,,Clemson,16890.0,,,breeland,,,ba905b34-8412-4553-9055-3460368cc608,,['DB'],
,Dent,2000-07-27,,,,,Kinkead,True,,,,,kinkead,"{'channel_id': '1225943136610562048', 'rookie_year': '0'}",[],24.0,,215,Active,#kinkeaddent-NFL-FA,76,,0.0,kinkeaddent,nfl,,9999999.0,,13175,,Jackson Academy (MS),,,,,QB,Kinkead Dent,,,Tennessee-Martin,,,,dent,,,b1b21920-2b81-11f0-a7dc-b36f60eb4d60,,['QB'],
,Aubrey,1995-03-14,872D94B3727D,,,,Brandon,True,,,17.0,,brandon,"{'channel_id': '1113708850915078145', 'rookie_year': '2023'}",[],30.0,,218,Active,#brandonaubrey-NFL-DAL-17,75,17649.0,2.0,brandonaubrey,nfl,,99.0,,11533,1755951037881.0,Plano Senior (TX),,1454349.0,,,K,Brandon Aubrey,DAL,,Notre Dame,,1.0,,aubrey,,K,110e6fe0-1c34-11ee-8294-af17faac15de,,['K'],
,Herrera,1991-09-20,,16967.0,,,Amarlo,False,,,56.0,,amarlo,,[],28.0,,249,Inactive,#amarloherrera-NFL-FA-56,"6'1""",10372.0,5.0,amarloherrera,nfl,,9999999.0,,2508,,North Clayton,,,,28595.0,LB,Amarlo Herrera,,,Georgia,2578542.0,,,herrera,,,faf5f854-73af-4ab9-8f19-95ea75431d45,,['LB'],
,Edebali,1989-08-17,,16570.0,,00-0031255,Kasim,True,,,95.0,,kasim,{'channel_id': '1116852786479235072'},[],32.0,,253,Inactive,#kasimedebali-NFL-FA-95,74,9378.0,8.0,kasimedebali,nfl,,9999999.0,,2199,1572497732686.0,Kimball Union (NH),,,498200.0,27923.0,DE,Kasim Edebali,,,Boston College,17141.0,,,edebali,,,25a958c9-4035-43ad-8c9c-1309ea592e66,,"['DL', 'LB']",
,Slavin,1992-01-29,,17349.0,,,Tyler,False,,,13.0,,tyler,,[],26.0,,215,Inactive,#tylerslavin-NFL-FA-13,"6'2""",10861.0,1.0,tylerslavin,nfl,,9999999.0,,2881,,,,,542556.0,29002.0,WR,Tyler Slavin,,,New Mexico Highlands,2516911.0,,,slavin,,,f02407dd-c6d9-4c88-885b-0fcf87fcbb33,,['WR'],
,Lawrence,1992-04-28,4306CF8AB318,16366.0,,00-0031411,DeMarcus,True,,9633.0,0.0,,demarcus,"{'channel_id': '1113708852156592128', 'rookie_year': '2014'}",[],33.0,,254,Active,#demarcuslawrence-NFL-SEA-0,75,9344.0,11.0,demarcuslawrence,nfl,,570.0,,2064,1750009211759.0,Silver Bluff (SC),,651780.0,,27562.0,DE,DeMarcus Lawrence,SEA,,Boise State,16802.0,1.0,,lawrence,,LOLB,3e3bd10a-6462-47f8-8938-42518781d060,,['DL'],
,Dunbar,1990-01-25,,14731.0,,,Lance,False,,7798.0,25.0,,lance,,[],30.0,,187,Inactive,#lancedunbar-NFL-FA-25,"5'8""",8086.0,8.0,lancedunbar,nfl,,9999999.0,,1284,1520632201229.0,Haltom (TX),,,468901.0,26064.0,RB,Lance Dunbar,,,North Texas,15369.0,,,dunbar,,,9f0f0495-b5b8-45c2-866b-02d9f96087f7,,['RB'],
,White,1991-10-16,,17269.0,,00-0031511,DeAndrew,True,,,18.0,Undisclosed,deandrew,{'channel_id': '1116852821904326656'},[],30.0,,195,Inactive,#deandrewwhite-NFL-FA-18,72,10243.0,7.0,deandrewwhite,nfl,,9999999.0,,2801,1598920530064.0,North Shore (TX),,,557177.0,28800.0,WR,DeAndrew White,,Questionable,Alabama,2515962.0,,,white,,,e0abf267-f265-4682-9bb7-72bbcefda451,,['WR'],
,Lawrence,1992-10-13,,19373.0,,00-0033501,Devaroe,True,,,0.0,,devaroe,{'channel_id': '1116852977559142400'},[],29.0,,294,Active,#devaroelawrence-NFL-FA-0,74,12173.0,5.0,devaroelawrence,nfl,,1257.0,,4501,1627877117922.0,Carolina (SC),,835146.0,,30412.0,DT,Devaroe Lawrence,,,Auburn,3121581.0,,,lawrence,,,87c4b182-e4bc-4f35-97ec-8537a2665875,,['DL'],
,Baker,1997-09-04,,21020.0,, 00-0035684,DeAndre,True,,,30.0,,deandre,{'channel_id': '1116853171138854912'},[],24.0,,186,Active,#deandrebaker-NFL-FA-30,71,13475.0,3.0,deandrebaker,nfl,,9999999.0,,5852,1660181717555.0,Miami Northwestern (FL),,880521.0,,31862.0,CB,DeAndre Baker,,,Georgia,3915163.0,,,baker,,,02d1b3c3-f292-4174-89fa-9ecc6286adb0,,['DB'],
,Thompson,1989-10-19,,13881.0,,,Taylor,False,,,84.0,,taylor,,[],27.0,,268,Inactive,#taylorthompson-NFL-FA-84,"6'6""",,3.0,taylorthompson,nfl,,9999999.0,,1073,,,,,460898.0,,TE,Taylor Thompson,,,SMU,15067.0,,,thompson,,,c2c65162-07df-48fb-93ce-86f340afb688,,['TE'],
,Seymour,1993-11-30,0B131E4B26AA,18135.0,,00-0032942,Kevon,True,,,29.0,Undisclosed,kevon,"{'channel_id': '1116852856238899200', 'rookie_year': '2016'}",[],31.0,,188,Inactive,#kevonseymour-NFL-FA-29,72,11170.0,9.0,kevonseymour,nfl,,9999999.0,,3374,1755740717239.0,Muir (CA),,691066.0,691066.0,29452.0,CB,Kevon Seymour,,Questionable,USC,2971603.0,,,seymour,,,e431a42b-5abe-49de-9c8c-f143f393591c,,['DB'],
