RK,TIERS,PLAYER NAME,TEAM,POS,BYE,UPSIDE ,BUST ,SOS,ECR VS ADP,PLAYER NAME_CLEAN,Matched Name,player_id,full_name,first_name,last_name,position,team,team_abbr,fantasy_positions,active,status,age,height,weight,college,years_exp,injury_status,injury_notes,injury_body_part,practice_description,practice_participation,birth_city,birth_state,birth_country,birth_date,team_changed_at,full_name_clean,is_rookie,is_lottery_ticket,handcuff,is_fantasypros_sleeper,num,player,RK_DIFF
1,1,Ja'Marr Chase,CIN,WR1,10,Coach Upside rating,Coach Bust rating,3 out of 5 stars,0,ja'marr chase,ja'marr chase,7564,Ja'Marr Chase,Ja'Marr,Chase,WR,CIN,,['WR'],True,Active,25.0,72,205.0,LSU,4.0,,,,,,,,,2000-03-01,,ja'marr chase,False,False,,False,1.0,Ja'Marr Chase,0.0
2,1,CeeDee Lamb,DAL,WR2,10,Coach Upside rating,Coach Bust rating,2 out of 5 stars,+4,ceedee lamb,ceedee lamb,6786,CeeDee Lamb,CeeDee,Lamb,WR,DAL,,['WR'],True,Active,26.0,74,200.0,Oklahoma,5.0,,,,,,,,,1999-04-08,,ceedee lamb,False,False,,False,4.0,CeeDee Lamb,-2.0
3,1,Justin Jefferson,MIN,WR3,6,Coach Upside rating,Coach Bust rating,2 out of 5 stars,+2,justin jefferson,justin jefferson,6794,Justin Jefferson,Justin,Jefferson,WR,MIN,,['WR'],True,Active,26.0,73,195.0,LSU,5.0,Questionable,,Leg,,,,,,1999-06-16,,justin jefferson,False,False,,False,6.0,Justin Jefferson,-3.0
4,1,Bijan Robinson,ATL,RB1,5,Coach Upside rating,Coach Bust rating,4 out of 5 stars,-2,bijan robinson,bijan robinson,9509,Bijan Robinson,Bijan,Robinson,RB,ATL,,['RB'],True,Active,23.0,71,215.0,Texas,2.0,,,,,,,,,2002-01-30,,bijan robinson,False,False,Tyler Allgeier,False,3.0,Bijan Robinson,1.0
5,2,Malik Nabers,NYG,WR4,14,Coach Upside rating,Coach Bust rating,2 out of 5 stars,+4,malik nabers,malik nabers,11632,Malik Nabers,Malik,Nabers,WR,NYG,,['WR'],True,Active,22.0,72,200.0,LSU,1.0,Questionable,,Shoulder,,,,,,2003-07-28,,malik nabers,False,False,,False,10.0,Malik Nabers,-5.0
6,2,Amon-Ra St. Brown,DET,WR5,8,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+2,amon-ra st. brown,amon-ra st. brown,7547,Amon-Ra St. Brown,Amon-Ra,St. Brown,WR,DET,,['WR'],True,Active,25.0,72,202.0,USC,4.0,,,,,,,,,1999-10-24,,amon-ra st. brown,False,False,,False,12.0,Amon-Ra St. Brown,-6.0
7,2,Jahmyr Gibbs,DET,RB2,8,Coach Upside rating,Coach Bust rating,2 out of 5 stars,-3,jahmyr gibbs,jahmyr gibbs,9221,Jahmyr Gibbs,Jahmyr,Gibbs,RB,DET,,['RB'],True,Active,23.0,69,202.0,Alabama,2.0,,,,,,,,,2002-03-20,,jahmyr gibbs,False,False,David Montgomery,False,5.0,Jahmyr Gibbs,2.0
8,2,Nico Collins,HOU,WR6,6,Coach Upside rating,Coach Bust rating,4 out of 5 stars,+5,nico collins,nico collins,7569,Nico Collins,Nico,Collins,WR,HOU,,['WR'],True,Active,26.0,76,222.0,Michigan,4.0,,,,,,,,,1999-03-19,,nico collins,False,False,,False,8.0,Nico Collins,0.0
9,2,Puka Nacua,LAR,WR7,8,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+3,puka nacua,puka nacua,9493,Puka Nacua,Puka,Nacua,WR,LAR,,['WR'],True,Active,24.0,74,212.0,BYU,2.0,,,,,,,,,2001-05-29,,puka nacua,False,False,,False,11.0,Puka Nacua,-2.0
10,2,Saquon Barkley,PHI,RB3,9,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-7,saquon barkley,saquon barkley,4866,Saquon Barkley,Saquon,Barkley,RB,PHI,,['RB'],True,Active,28.0,72,233.0,Penn State,7.0,,,,,,,,,1997-02-09,,saquon barkley,False,False,Will Shipley,False,2.0,Saquon Barkley,8.0
